id,user_id,pickup_point_id,created_at,status,total
73,1680,84,2025-01-01 20:57:00+03,created,75715.00
74,1703,95,2025-01-01 21:06:00+03,paid,224230.00
75,1726,106,2025-01-01 21:15:00+03,shipped,21010.00
76,1749,117,2025-01-01 21:24:00+03,ready,54150.00
77,1772,8,2025-01-01 21:33:00+03,completed,76870.00
78,1795,19,2025-01-01 21:42:00+03,cancelled,101015.00
79,1818,30,2025-01-01 21:51:00+03,created,135585.00
80,1841,41,2025-01-01 22:00:00+03,paid,172610.00
81,1864,52,2025-01-01 22:09:00+03,shipped,73720.00
82,1887,63,2025-01-01 22:18:00+03,ready,75020.00
83,1910,74,2025-01-01 22:27:00+03,completed,104750.00
84,1933,85,2025-01-01 22:36:00+03,cancelled,40900.00
85,1956,96,2025-01-01 22:45:00+03,created,166055.00
86,1979,107,2025-01-01 22:54:00+03,paid,261165.00
87,2002,118,2025-01-01 23:03:00+03,shipped,126930.00
88,2025,9,2025-01-01 23:12:00+03,ready,80765.00
89,2048,20,2025-01-01 23:21:00+03,completed,76155.00
90,2071,31,2025-01-01 23:30:00+03,cancelled,21085.00
91,2094,42,2025-01-01 23:39:00+03,created,149000.00
92,2117,53,2025-01-01 23:48:00+03,paid,242095.00
93,2140,64,2025-01-01 23:57:00+03,shipped,38190.00
94,2163,75,2025-01-02 00:06:00+03,ready,302985.00
95,2186,86,2025-01-02 00:15:00+03,completed,145660.00
96,2209,97,2025-01-02 00:24:00+03,cancelled,19145.00
97,2232,108,2025-01-02 00:33:00+03,created,65745.00
98,2255,119,2025-01-02 00:42:00+03,paid,126450.00
99,2278,10,2025-01-02 00:51:00+03,shipped,40800.00
100,2301,21,2025-01-02 01:00:00+03,ready,78080.00
101,2324,32,2025-01-02 01:09:00+03,completed,287090.00
102,2347,43,2025-01-02 01:18:00+03,cancelled,41830.00
103,2370,54,2025-01-02 01:27:00+03,created,33115.00
104,2393,65,2025-01-02 01:36:00+03,paid,83580.00
105,2416,76,2025-01-02 01:45:00+03,shipped,60160.00
106,2439,87,2025-01-02 01:54:00+03,ready,103350.00
107,2462,98,2025-01-02 02:03:00+03,completed,299645.00
108,2485,109,2025-01-02 02:12:00+03,cancelled,29790.00
109,2508,120,2025-01-02 02:21:00+03,created,90335.00
110,2531,11,2025-01-02 02:30:00+03,paid,67535.00
111,2554,22,2025-01-02 02:39:00+03,shipped,71895.00
112,2577,33,2025-01-02 02:48:00+03,ready,196645.00
113,2600,44,2025-01-02 02:57:00+03,completed,104025.00
114,2623,55,2025-01-02 03:06:00+03,cancelled,173900.00
115,2646,66,2025-01-02 03:15:00+03,created,44680.00
116,2669,77,2025-01-02 03:24:00+03,paid,85690.00
117,2692,88,2025-01-02 03:33:00+03,shipped,35105.00
118,2715,99,2025-01-02 03:42:00+03,ready,162265.00
119,2738,110,2025-01-02 03:51:00+03,completed,190980.00
120,2761,1,2025-01-02 04:00:00+03,cancelled,31535.00
121,2784,12,2025-01-02 04:09:00+03,created,187350.00
122,2807,23,2025-01-02 04:18:00+03,paid,124645.00
123,2830,34,2025-01-02 04:27:00+03,shipped,13365.00
124,2853,45,2025-01-02 04:36:00+03,ready,76710.00
125,2876,56,2025-01-02 04:45:00+03,completed,304985.00
126,2899,67,2025-01-02 04:54:00+03,cancelled,55995.00
127,2922,78,2025-01-02 05:03:00+03,created,227470.00
128,2945,89,2025-01-02 05:12:00+03,paid,307050.00
129,2968,100,2025-01-02 05:21:00+03,shipped,51475.00
130,2991,111,2025-01-02 05:30:00+03,ready,39030.00
131,3014,2,2025-01-02 05:39:00+03,completed,212440.00
132,3037,13,2025-01-02 05:48:00+03,cancelled,124180.00
133,3060,24,2025-01-02 05:57:00+03,created,73240.00
134,3083,35,2025-01-02 06:06:00+03,paid,227805.00
135,3106,46,2025-01-02 06:15:00+03,shipped,20185.00
136,3129,57,2025-01-02 06:24:00+03,ready,50025.00
137,3152,68,2025-01-02 06:33:00+03,completed,76045.00
138,3175,79,2025-01-02 06:42:00+03,cancelled,100190.00
139,3198,90,2025-01-02 06:51:00+03,created,133935.00
140,3221,101,2025-01-02 07:00:00+03,paid,181410.00
141,3244,112,2025-01-02 07:09:00+03,shipped,73720.00
142,3267,3,2025-01-02 07:18:00+03,ready,78595.00
143,3290,14,2025-01-02 07:27:00+03,completed,101450.00
144,3313,25,2025-01-02 07:36:00+03,cancelled,40900.00
145,3336,36,2025-01-02 07:45:00+03,created,166605.00
146,3359,47,2025-01-02 07:54:00+03,paid,257865.00
147,3382,58,2025-01-02 08:03:00+03,shipped,125280.00
148,3405,69,2025-01-02 08:12:00+03,ready,78290.00
149,3428,80,2025-01-02 08:21:00+03,completed,82480.00
150,3451,91,2025-01-02 08:30:00+03,cancelled,25485.00
151,3474,102,2025-01-02 08:39:00+03,created,146525.00
152,3497,113,2025-01-02 08:48:00+03,paid,237145.00
153,3520,4,2025-01-02 08:57:00+03,shipped,36540.00
154,3543,15,2025-01-02 09:06:00+03,ready,303535.00
155,3566,26,2025-01-02 09:15:00+03,completed,140710.00
156,3589,37,2025-01-02 09:24:00+03,cancelled,17495.00
157,3612,48,2025-01-02 09:33:00+03,created,64920.00
158,3635,59,2025-01-02 09:42:00+03,paid,122325.00
159,3658,70,2025-01-02 09:51:00+03,shipped,45200.00
160,3681,81,2025-01-02 10:00:00+03,ready,83855.00
161,3704,92,2025-01-02 10:09:00+03,completed,282965.00
162,3727,103,2025-01-02 10:18:00+03,cancelled,39355.00
163,3750,114,2025-01-02 10:27:00+03,created,30640.00
164,3773,5,2025-01-02 10:36:00+03,paid,94580.00
165,3796,16,2025-01-02 10:45:00+03,shipped,62360.00
166,3819,27,2025-01-02 10:54:00+03,ready,100875.00
167,3842,38,2025-01-02 11:03:00+03,completed,295520.00
168,3865,49,2025-01-02 11:12:00+03,cancelled,28965.00
169,3888,60,2025-01-02 11:21:00+03,created,96935.00
170,3911,71,2025-01-02 11:30:00+03,paid,65885.00
171,3934,82,2025-01-02 11:39:00+03,shipped,71070.00
172,3957,93,2025-01-02 11:48:00+03,ready,194170.00
173,3980,104,2025-01-02 11:57:00+03,completed,101550.00
174,4003,115,2025-01-02 12:06:00+03,cancelled,176100.00
175,4026,6,2025-01-02 12:15:00+03,created,42205.00
176,4049,17,2025-01-02 12:24:00+03,paid,84865.00
177,4072,28,2025-01-02 12:33:00+03,shipped,34280.00
178,4095,39,2025-01-02 12:42:00+03,ready,160615.00
179,4118,50,2025-01-02 12:51:00+03,completed,190705.00
180,4141,61,2025-01-02 13:00:00+03,cancelled,30710.00
181,4164,72,2025-01-02 13:09:00+03,created,185700.00
182,4187,83,2025-01-02 13:18:00+03,paid,130420.00
183,4210,94,2025-01-02 13:27:00+03,shipped,13365.00
184,4233,105,2025-01-02 13:36:00+03,ready,80285.00
185,4256,116,2025-01-02 13:45:00+03,completed,301685.00
186,4279,7,2025-01-02 13:54:00+03,cancelled,54345.00
187,4302,18,2025-01-02 14:03:00+03,created,228020.00
188,4325,29,2025-01-02 14:12:00+03,paid,306775.00
189,4348,40,2025-01-02 14:21:00+03,shipped,55875.00
190,4371,51,2025-01-02 14:30:00+03,ready,36555.00
191,4394,62,2025-01-02 14:39:00+03,completed,215740.00
192,4417,73,2025-01-02 14:48:00+03,cancelled,122530.00
193,4440,84,2025-01-02 14:57:00+03,created,76815.00
194,4463,95,2025-01-02 15:06:00+03,paid,231930.00
195,4486,106,2025-01-02 15:15:00+03,shipped,18535.00
196,4509,117,2025-01-02 15:24:00+03,ready,52225.00
197,4532,8,2025-01-02 15:33:00+03,completed,75495.00
198,4555,19,2025-01-02 15:42:00+03,cancelled,98540.00
199,4578,30,2025-01-02 15:51:00+03,created,130635.00
200,4601,41,2025-01-02 16:00:00+03,paid,177285.00
201,4624,52,2025-01-02 16:09:00+03,shipped,72070.00
202,4647,63,2025-01-02 16:18:00+03,ready,76120.00
203,4670,74,2025-01-02 16:27:00+03,completed,106400.00
204,4693,85,2025-01-02 16:36:00+03,cancelled,41450.00
205,4716,96,2025-01-02 16:45:00+03,created,164130.00
206,4739,107,2025-01-02 16:54:00+03,paid,259790.00
207,4762,118,2025-01-02 17:03:00+03,shipped,124455.00
208,4785,9,2025-01-02 17:12:00+03,ready,75815.00
209,4808,20,2025-01-02 17:21:00+03,completed,80830.00
210,4831,31,2025-01-02 17:30:00+03,cancelled,24660.00
211,4854,42,2025-01-02 17:39:00+03,created,153125.00
212,4877,53,2025-01-02 17:48:00+03,paid,235495.00
213,4900,64,2025-01-02 17:57:00+03,shipped,35715.00
214,4923,75,2025-01-02 18:06:00+03,ready,301060.00
215,4946,86,2025-01-02 18:15:00+03,completed,144285.00
216,4969,97,2025-01-02 18:24:00+03,cancelled,16670.00
217,4992,108,2025-01-02 18:33:00+03,created,60795.00
218,5015,119,2025-01-02 18:42:00+03,paid,121500.00
219,5038,10,2025-01-02 18:51:00+03,shipped,44375.00
220,5061,21,2025-01-02 19:00:00+03,ready,82205.00
221,5084,32,2025-01-02 19:09:00+03,completed,291765.00
222,5107,43,2025-01-02 19:18:00+03,cancelled,39355.00
223,5130,54,2025-01-02 19:27:00+03,created,28165.00
224,5153,65,2025-01-02 19:36:00+03,paid,91280.00
225,5176,76,2025-01-02 19:45:00+03,shipped,62360.00
226,5199,87,2025-01-02 19:54:00+03,ready,107475.00
227,5222,98,2025-01-02 20:03:00+03,completed,292220.00
228,5245,109,2025-01-02 20:12:00+03,cancelled,27315.00
229,5268,120,2025-01-02 20:21:00+03,created,94460.00
230,5291,11,2025-01-02 20:30:00+03,paid,63135.00
231,5314,22,2025-01-02 20:39:00+03,shipped,75470.00
232,5337,33,2025-01-02 20:48:00+03,ready,191695.00
233,5360,44,2025-01-02 20:57:00+03,completed,105675.00
234,5383,55,2025-01-02 21:06:00+03,cancelled,174450.00
235,5406,66,2025-01-02 21:15:00+03,created,48805.00
236,5429,77,2025-01-02 21:24:00+03,paid,93390.00
237,5452,88,2025-01-02 21:33:00+03,shipped,32630.00
238,5475,99,2025-01-02 21:42:00+03,ready,159790.00
239,5498,110,2025-01-02 21:51:00+03,completed,186580.00
240,5521,1,2025-01-02 22:00:00+03,cancelled,35110.00
241,5544,12,2025-01-02 22:09:00+03,created,191475.00
242,5567,23,2025-01-02 22:18:00+03,paid,126295.00
243,5590,34,2025-01-02 22:27:00+03,shipped,10890.00
244,5613,45,2025-01-02 22:36:00+03,ready,77810.00
245,5636,56,2025-01-02 22:45:00+03,completed,306635.00
246,5659,67,2025-01-02 22:54:00+03,cancelled,56545.00
247,5682,78,2025-01-02 23:03:00+03,created,225545.00
248,5705,89,2025-01-02 23:12:00+03,paid,302650.00
249,5728,100,2025-01-02 23:21:00+03,shipped,55050.00
250,5751,111,2025-01-02 23:30:00+03,ready,43155.00
251,5774,2,2025-01-02 23:39:00+03,completed,214090.00
252,5797,13,2025-01-02 23:48:00+03,cancelled,121705.00
253,5820,24,2025-01-02 23:57:00+03,created,74340.00
254,5843,35,2025-01-03 00:06:00+03,paid,229455.00
255,5866,46,2025-01-03 00:15:00+03,shipped,20735.00
256,5889,57,2025-01-03 00:24:00+03,ready,49750.00
257,5912,68,2025-01-03 00:33:00+03,completed,74670.00
258,5935,79,2025-01-03 00:42:00+03,cancelled,97715.00
259,5958,90,2025-01-03 00:51:00+03,created,128985.00
260,5981,101,2025-01-03 01:00:00+03,paid,173985.00
261,6004,112,2025-01-03 01:09:00+03,shipped,71245.00
262,6027,3,2025-01-03 01:18:00+03,ready,74470.00
263,6050,14,2025-01-03 01:27:00+03,completed,112175.00
264,6073,25,2025-01-03 01:36:00+03,cancelled,41450.00
265,6096,36,2025-01-03 01:45:00+03,created,167705.00
266,6119,47,2025-01-03 01:54:00+03,paid,256490.00
267,6142,58,2025-01-03 02:03:00+03,shipped,122805.00
268,6165,69,2025-01-03 02:12:00+03,ready,76365.00
269,6188,80,2025-01-03 02:21:00+03,completed,77530.00
270,6211,91,2025-01-03 02:30:00+03,cancelled,23010.00
271,6234,102,2025-01-03 02:39:00+03,created,150650.00
272,6257,113,2025-01-03 02:48:00+03,paid,241820.00
273,6280,4,2025-01-03 02:57:00+03,shipped,40115.00
274,6303,15,2025-01-03 03:06:00+03,ready,304635.00
275,6326,26,2025-01-03 03:15:00+03,completed,148410.00
276,6349,37,2025-01-03 03:24:00+03,cancelled,15020.00
277,6372,48,2025-01-03 03:33:00+03,created,62995.00
278,6395,59,2025-01-03 03:42:00+03,paid,120950.00
279,6418,70,2025-01-03 03:51:00+03,shipped,42725.00
280,6441,81,2025-01-03 04:00:00+03,ready,78905.00
281,6464,92,2025-01-03 04:09:00+03,completed,287640.00
282,6487,103,2025-01-03 04:18:00+03,cancelled,43755.00
283,6510,114,2025-01-03 04:27:00+03,created,34765.00
284,6533,5,2025-01-03 04:36:00+03,paid,87155.00
285,6556,16,2025-01-03 04:45:00+03,shipped,59885.00
286,6579,27,2025-01-03 04:54:00+03,ready,105000.00
287,6602,38,2025-01-03 05:03:00+03,completed,294145.00
288,6625,49,2025-01-03 05:12:00+03,cancelled,26490.00
289,6648,60,2025-01-03 05:21:00+03,created,91985.00
290,6671,71,2025-01-03 05:30:00+03,paid,61485.00
291,6694,82,2025-01-03 05:39:00+03,shipped,74645.00
292,6717,93,2025-01-03 05:48:00+03,ready,198295.00
293,6740,104,2025-01-03 05:57:00+03,completed,104025.00
294,6763,115,2025-01-03 06:06:00+03,cancelled,173625.00
295,6786,6,2025-01-03 06:15:00+03,created,46330.00
296,6809,17,2025-01-03 06:24:00+03,paid,92565.00
297,6832,28,2025-01-03 06:33:00+03,shipped,34830.00
298,6855,39,2025-01-03 06:42:00+03,ready,161715.00
299,6878,50,2025-01-03 06:51:00+03,completed,185755.00
300,6901,61,2025-01-03 07:00:00+03,cancelled,34285.00
301,6924,72,2025-01-03 07:09:00+03,created,189825.00
302,6947,83,2025-01-03 07:18:00+03,paid,126020.00
303,6970,94,2025-01-03 07:27:00+03,shipped,10890.00
304,6993,105,2025-01-03 07:36:00+03,ready,75335.00
305,7016,116,2025-01-03 07:45:00+03,completed,312410.00
306,7039,7,2025-01-03 07:54:00+03,cancelled,56545.00
307,7062,18,2025-01-03 08:03:00+03,created,229120.00
308,7085,29,2025-01-03 08:12:00+03,paid,299350.00
309,7108,40,2025-01-03 08:21:00+03,shipped,53400.00
310,7131,51,2025-01-03 08:30:00+03,ready,40680.00
311,7154,62,2025-01-03 08:39:00+03,completed,211340.00
312,7177,73,2025-01-03 08:48:00+03,cancelled,126105.00
313,7200,84,2025-01-03 08:57:00+03,created,71865.00
314,7223,95,2025-01-03 09:06:00+03,paid,233580.00
315,7246,106,2025-01-03 09:15:00+03,shipped,19085.00
316,7269,117,2025-01-03 09:24:00+03,ready,53325.00
317,7292,8,2025-01-03 09:33:00+03,completed,77145.00
318,7315,19,2025-01-03 09:42:00+03,cancelled,96065.00
319,7338,30,2025-01-03 09:51:00+03,created,131185.00
320,7361,41,2025-01-03 10:00:00+03,paid,175910.00
321,7384,52,2025-01-03 10:09:00+03,shipped,75645.00
322,7407,63,2025-01-03 10:18:00+03,ready,80245.00
323,7430,74,2025-01-03 10:27:00+03,completed,108050.00
324,7453,85,2025-01-03 10:36:00+03,cancelled,38975.00
325,7476,96,2025-01-03 10:45:00+03,created,165230.00
326,7499,107,2025-01-03 10:54:00+03,paid,261440.00
327,7522,118,2025-01-03 11:03:00+03,shipped,125005.00
328,7545,9,2025-01-03 11:12:00+03,ready,73890.00
329,7568,20,2025-01-03 11:21:00+03,completed,79455.00
330,7591,31,2025-01-03 11:30:00+03,cancelled,22185.00
331,7614,42,2025-01-03 11:39:00+03,created,148175.00
332,7637,53,2025-01-03 11:48:00+03,paid,240170.00
333,7660,64,2025-01-03 11:57:00+03,shipped,39290.00
334,7683,75,2025-01-03 12:06:00+03,ready,302160.00
335,7706,86,2025-01-03 12:15:00+03,completed,145935.00
336,7729,97,2025-01-03 12:24:00+03,cancelled,17220.00
337,7752,108,2025-01-03 12:33:00+03,created,64920.00
338,7775,119,2025-01-03 12:42:00+03,paid,120125.00
339,7798,10,2025-01-03 12:51:00+03,shipped,41900.00
340,7821,21,2025-01-03 13:00:00+03,ready,77255.00
341,7844,32,2025-01-03 13:09:00+03,completed,284340.00
342,7867,43,2025-01-03 13:18:00+03,cancelled,42930.00
343,7890,54,2025-01-03 13:27:00+03,created,33115.00
344,7913,65,2025-01-03 13:36:00+03,paid,95955.00
345,7936,76,2025-01-03 13:45:00+03,shipped,59885.00
346,7959,87,2025-01-03 13:54:00+03,ready,102525.00
347,7982,98,2025-01-03 14:03:00+03,completed,290845.00
348,8005,109,2025-01-03 14:12:00+03,cancelled,24840.00
349,8028,120,2025-01-03 14:21:00+03,created,92535.00
350,8051,11,2025-01-03 14:30:00+03,paid,58185.00
351,8074,22,2025-01-03 14:39:00+03,shipped,72995.00
352,8097,33,2025-01-03 14:48:00+03,ready,195820.00
353,8120,44,2025-01-03 14:57:00+03,completed,101275.00
354,8143,55,2025-01-03 15:06:00+03,cancelled,178025.00
355,8166,66,2025-01-03 15:15:00+03,created,43855.00
356,8189,77,2025-01-03 15:24:00+03,paid,87615.00
357,8212,88,2025-01-03 15:33:00+03,shipped,33180.00
358,8235,99,2025-01-03 15:42:00+03,ready,163915.00
359,8258,110,2025-01-03 15:51:00+03,completed,194280.00
360,8281,1,2025-01-03 16:00:00+03,cancelled,32635.00
361,8304,12,2025-01-03 16:09:00+03,created,186525.00
362,8327,23,2025-01-03 16:18:00+03,paid,121895.00
363,8350,34,2025-01-03 16:27:00+03,shipped,15290.00
364,8373,45,2025-01-03 16:36:00+03,ready,81935.00
365,8396,56,2025-01-03 16:45:00+03,completed,308285.00
366,8419,67,2025-01-03 16:54:00+03,cancelled,54070.00
367,8442,78,2025-01-03 17:03:00+03,created,226645.00
368,8465,89,2025-01-03 17:12:00+03,paid,310350.00
369,8488,100,2025-01-03 17:21:00+03,shipped,55600.00
370,8511,111,2025-01-03 17:30:00+03,ready,38205.00
371,8534,2,2025-01-03 17:39:00+03,completed,209690.00
372,8557,13,2025-01-03 17:48:00+03,cancelled,125280.00
373,8580,24,2025-01-03 17:57:00+03,created,78465.00
374,8603,35,2025-01-03 18:06:00+03,paid,231930.00
375,8626,46,2025-01-03 18:15:00+03,shipped,18260.00
376,8649,57,2025-01-03 18:24:00+03,ready,50850.00
377,8672,68,2025-01-03 18:33:00+03,completed,76320.00
378,8695,79,2025-01-03 18:42:00+03,cancelled,98265.00
379,8718,90,2025-01-03 18:51:00+03,created,133110.00
380,8741,101,2025-01-03 19:00:00+03,paid,175085.00
381,8764,112,2025-01-03 19:09:00+03,shipped,74820.00
382,8787,3,2025-01-03 19:18:00+03,ready,78595.00
383,8810,14,2025-01-03 19:27:00+03,completed,107775.00
384,8833,25,2025-01-03 19:36:00+03,cancelled,38975.00
385,8856,36,2025-01-03 19:45:00+03,created,162755.00
386,8879,47,2025-01-03 19:54:00+03,paid,267215.00
387,8902,58,2025-01-03 20:03:00+03,shipped,125005.00
388,8925,69,2025-01-03 20:12:00+03,ready,77465.00
389,8948,80,2025-01-03 20:21:00+03,completed,76155.00
390,8971,91,2025-01-03 20:30:00+03,cancelled,20535.00
391,8994,102,2025-01-03 20:39:00+03,created,148725.00
392,9017,113,2025-01-03 20:48:00+03,paid,234395.00
393,9040,4,2025-01-03 20:57:00+03,shipped,37640.00
394,9063,15,2025-01-03 21:06:00+03,ready,299685.00
395,9086,26,2025-01-03 21:15:00+03,completed,150060.00
396,9109,37,2025-01-03 21:24:00+03,cancelled,15570.00
397,9132,48,2025-01-03 21:33:00+03,created,64095.00
398,9155,59,2025-01-03 21:42:00+03,paid,122600.00
399,9178,70,2025-01-03 21:51:00+03,shipped,40250.00
400,9201,81,2025-01-03 22:00:00+03,ready,79455.00
401,9224,92,2025-01-03 22:09:00+03,completed,286265.00
402,9247,103,2025-01-03 22:18:00+03,cancelled,41280.00
403,9270,114,2025-01-03 22:27:00+03,created,29815.00
404,9293,5,2025-01-03 22:36:00+03,paid,91830.00
405,9316,16,2025-01-03 22:45:00+03,shipped,63460.00
406,9339,27,2025-01-03 22:54:00+03,ready,109125.00
407,9362,38,2025-01-03 23:03:00+03,completed,295795.00
408,9385,49,2025-01-03 23:12:00+03,cancelled,27040.00
409,9408,60,2025-01-03 23:21:00+03,created,90060.00
410,9431,71,2025-01-03 23:30:00+03,paid,60110.00
411,9454,82,2025-01-03 23:39:00+03,shipped,72170.00
412,9477,93,2025-01-03 23:48:00+03,ready,193345.00
413,9500,104,2025-01-03 23:57:00+03,completed,99625.00
414,9523,115,2025-01-04 00:06:00+03,cancelled,177200.00
415,9546,6,2025-01-04 00:15:00+03,created,50455.00
416,9569,17,2025-01-04 00:24:00+03,paid,88165.00
417,9592,28,2025-01-04 00:33:00+03,shipped,32355.00
418,9615,39,2025-01-04 00:42:00+03,ready,159790.00
419,9638,50,2025-01-04 00:51:00+03,completed,193455.00
420,9661,61,2025-01-04 01:00:00+03,cancelled,31810.00
421,9684,72,2025-01-04 01:09:00+03,created,184875.00
422,9707,83,2025-01-04 01:18:00+03,paid,118595.00
423,9730,94,2025-01-04 01:27:00+03,shipped,14465.00
424,9753,105,2025-01-04 01:36:00+03,ready,80285.00
425,9776,116,2025-01-04 01:45:00+03,completed,308010.00
426,9799,7,2025-01-04 01:54:00+03,cancelled,54070.00
427,9822,18,2025-01-04 02:03:00+03,created,224170.00
428,9845,29,2025-01-04 02:12:00+03,paid,307050.00
429,9868,40,2025-01-04 02:21:00+03,shipped,53950.00
430,9891,51,2025-01-04 02:30:00+03,ready,44805.00
431,9914,62,2025-01-04 02:39:00+03,completed,206390.00
432,9937,73,2025-01-04 02:48:00+03,cancelled,123630.00
433,9960,84,2025-01-04 02:57:00+03,created,75990.00
434,9983,95,2025-01-04 03:06:00+03,paid,229180.00
435,10006,106,2025-01-04 03:15:00+03,shipped,22660.00
436,10029,117,2025-01-04 03:24:00+03,ready,48375.00
437,10052,8,2025-01-04 03:33:00+03,completed,80445.00
438,10075,19,2025-01-04 03:42:00+03,cancelled,96615.00
439,10098,30,2025-01-04 03:51:00+03,created,132285.00
440,10121,41,2025-01-04 04:00:00+03,paid,177560.00
441,10144,52,2025-01-04 04:09:00+03,shipped,73170.00
442,10167,63,2025-01-04 04:18:00+03,ready,75295.00
443,10190,74,2025-01-04 04:27:00+03,completed,103650.00
444,10213,85,2025-01-04 04:36:00+03,cancelled,43375.00
445,10236,96,2025-01-04 04:45:00+03,created,169355.00
446,10259,107,2025-01-04 04:54:00+03,paid,263090.00
447,10282,118,2025-01-04 05:03:00+03,shipped,122530.00
448,10305,9,2025-01-04 05:12:00+03,ready,74990.00
449,10328,20,2025-01-04 05:21:00+03,completed,81105.00
450,10351,31,2025-01-04 05:30:00+03,cancelled,22735.00
451,10374,42,2025-01-04 05:39:00+03,created,146250.00
452,10397,53,2025-01-04 05:48:00+03,paid,238795.00
453,10420,64,2025-01-04 05:57:00+03,shipped,36815.00
454,10443,75,2025-01-04 06:06:00+03,ready,306285.00
455,10466,86,2025-01-04 06:15:00+03,completed,150610.00
456,10489,97,2025-01-04 06:24:00+03,cancelled,14745.00
457,10512,108,2025-01-04 06:33:00+03,created,61620.00
458,10535,119,2025-01-04 06:42:00+03,paid,121775.00
459,10558,10,2025-01-04 06:51:00+03,shipped,42450.00
460,10581,21,2025-01-04 07:00:00+03,ready,81380.00
461,10604,32,2025-01-04 07:09:00+03,completed,285440.00
