id,category_id,name,description,price
109,9,Accessory 0006,Accessory generation 6 for category Accessories,3500.00
110,10,Router 0006,Router generation 6 for category Networking,6640.00
111,11,Appliance 0006,Appliance generation 6 for category Kitchen Appliances,9730.00
112,12,Office Device 0006,Office Device generation 6 for category Office Equipment,14820.00
113,13,Wearable 0006,Wearable generation 6 for category Wearables,12910.00
114,14,Camera 0006,Camera generation 6 for category Cameras,48000.00
115,15,Book 0006,Book generation 6 for category Books,2540.00
116,16,TV 0006,TV generation 6 for category TVs,56730.00
117,17,Speaker 0006,Speaker generation 6 for category Audio,11820.00
118,18,Printer 0006,Printer generation 6 for category Printers,19910.00
119,19,Component 0006,Component generation 6 for category Components,17000.00
120,20,Charger 0006,Charger generation 6 for category Charging,3640.00
121,1,Smartphone 0007,Smartphone generation 7 for category Smartphones,27005.00
122,2,Laptop 0007,Laptop generation 7 for category Laptops,72095.00
123,3,Tablet 0007,Tablet generation 7 for category Tablets,32185.00
124,4,Headphones 0007,Headphones generation 7 for category Headphones,11275.00
125,5,Smart Device 0007,Smart Device generation 7 for category Smart Home,6415.00
126,6,Gaming Gear 0007,Gaming Gear generation 7 for category Gaming,9005.00
127,7,Monitor 0007,Monitor generation 7 for category Monitors,24095.00
128,8,Storage 0007,Storage generation 7 for category Storage,7685.00
129,9,Accessory 0007,Accessory generation 7 for category Accessories,3775.00
130,10,Router 0007,Router generation 7 for category Networking,6915.00
131,11,Appliance 0007,Appliance generation 7 for category Kitchen Appliances,10005.00
132,12,Office Device 0007,Office Device generation 7 for category Office Equipment,15095.00
133,13,Wearable 0007,Wearable generation 7 for category Wearables,13185.00
134,14,Camera 0007,Camera generation 7 for category Cameras,48275.00
135,15,Book 0007,Book generation 7 for category Books,2815.00
136,16,TV 0007,TV generation 7 for category TVs,57005.00
137,17,Speaker 0007,Speaker generation 7 for category Audio,12095.00
138,18,Printer 0007,Printer generation 7 for category Printers,20185.00
139,19,Component 0007,Component generation 7 for category Components,17275.00
140,20,Charger 0007,Charger generation 7 for category Charging,3915.00
141,1,Smartphone 0008,Smartphone generation 8 for category Smartphones,27280.00
142,2,Laptop 0008,Laptop generation 8 for category Laptops,72370.00
143,3,Tablet 0008,Tablet generation 8 for category Tablets,32460.00
144,4,Headphones 0008,Headphones generation 8 for category Headphones,11550.00
145,5,Smart Device 0008,Smart Device generation 8 for category Smart Home,6690.00
146,6,Gaming Gear 0008,Gaming Gear generation 8 for category Gaming,9280.00
147,7,Monitor 0008,Monitor generation 8 for category Monitors,24370.00
148,8,Storage 0008,Storage generation 8 for category Storage,7960.00
149,9,Accessory 0008,Accessory generation 8 for category Accessories,4050.00
150,10,Router 0008,Router generation 8 for category Networking,7190.00
151,11,Appliance 0008,Appliance generation 8 for category Kitchen Appliances,10280.00
152,12,Office Device 0008,Office Device generation 8 for category Office Equipment,15370.00
153,13,Wearable 0008,Wearable generation 8 for category Wearables,13460.00
154,14,Camera 0008,Camera generation 8 for category Cameras,48550.00
155,15,Book 0008,Book generation 8 for category Books,3090.00
156,16,TV 0008,TV generation 8 for category TVs,57280.00
157,17,Speaker 0008,Speaker generation 8 for category Audio,12370.00
158,18,Printer 0008,Printer generation 8 for category Printers,20460.00
159,19,Component 0008,Component generation 8 for category Components,17550.00
160,20,Charger 0008,Charger generation 8 for category Charging,4190.00
161,1,Smartphone 0009,Smartphone generation 9 for category Smartphones,27555.00
162,2,Laptop 0009,Laptop generation 9 for category Laptops,72645.00
163,3,Tablet 0009,Tablet generation 9 for category Tablets,32735.00
164,4,Headphones 0009,Headphones generation 9 for category Headphones,11825.00
165,5,Smart Device 0009,Smart Device generation 9 for category Smart Home,6965.00
166,6,Gaming Gear 0009,Gaming Gear generation 9 for category Gaming,9555.00
167,7,Monitor 0009,Monitor generation 9 for category Monitors,24645.00
168,8,Storage 0009,Storage generation 9 for category Storage,8235.00
169,9,Accessory 0009,Accessory generation 9 for category Accessories,4325.00
170,10,Router 0009,Router generation 9 for category Networking,7465.00
171,11,Appliance 0009,Appliance generation 9 for category Kitchen Appliances,10555.00
172,12,Office Device 0009,Office Device generation 9 for category Office Equipment,15645.00
173,13,Wearable 0009,Wearable generation 9 for category Wearables,13735.00
174,14,Camera 0009,Camera generation 9 for category Cameras,48825.00
175,15,Book 0009,Book generation 9 for category Books,3365.00
176,16,TV 0009,TV generation 9 for category TVs,57555.00
177,17,Speaker 0009,Speaker generation 9 for category Audio,12645.00
178,18,Printer 0009,Printer generation 9 for category Printers,20735.00
179,19,Component 0009,Component generation 9 for category Components,17825.00
180,20,Charger 0009,Charger generation 9 for category Charging,4465.00
181,1,Smartphone 0010,Smartphone generation 10 for category Smartphones,27830.00
182,2,Laptop 0010,Laptop generation 10 for category Laptops,72920.00
183,3,Tablet 0010,Tablet generation 10 for category Tablets,33010.00
184,4,Headphones 0010,Headphones generation 10 for category Headphones,12100.00
185,5,Smart Device 0010,Smart Device generation 10 for category Smart Home,7240.00
186,6,Gaming Gear 0010,Gaming Gear generation 10 for category Gaming,9830.00
187,7,Monitor 0010,Monitor generation 10 for category Monitors,24920.00
188,8,Storage 0010,Storage generation 10 for category Storage,8510.00
189,9,Accessory 0010,Accessory generation 10 for category Accessories,4600.00
190,10,Router 0010,Router generation 10 for category Networking,7740.00
191,11,Appliance 0010,Appliance generation 10 for category Kitchen Appliances,10830.00
192,12,Office Device 0010,Office Device generation 10 for category Office Equipment,15920.00
193,13,Wearable 0010,Wearable generation 10 for category Wearables,14010.00
194,14,Camera 0010,Camera generation 10 for category Cameras,49100.00
195,15,Book 0010,Book generation 10 for category Books,3640.00
196,16,TV 0010,TV generation 10 for category TVs,57830.00
197,17,Speaker 0010,Speaker generation 10 for category Audio,12920.00
198,18,Printer 0010,Printer generation 10 for category Printers,21010.00
199,19,Component 0010,Component generation 10 for category Components,18100.00
200,20,Charger 0010,Charger generation 10 for category Charging,4740.00
201,1,Smartphone 0011,Smartphone generation 11 for category Smartphones,25080.00
202,2,Laptop 0011,Laptop generation 11 for category Laptops,70170.00
203,3,Tablet 0011,Tablet generation 11 for category Tablets,30260.00
204,4,Headphones 0011,Headphones generation 11 for category Headphones,9350.00
205,5,Smart Device 0011,Smart Device generation 11 for category Smart Home,4490.00
206,6,Gaming Gear 0011,Gaming Gear generation 11 for category Gaming,7080.00
207,7,Monitor 0011,Monitor generation 11 for category Monitors,22170.00
208,8,Storage 0011,Storage generation 11 for category Storage,5760.00
209,9,Accessory 0011,Accessory generation 11 for category Accessories,1850.00
210,10,Router 0011,Router generation 11 for category Networking,4990.00
211,11,Appliance 0011,Appliance generation 11 for category Kitchen Appliances,8080.00
212,12,Office Device 0011,Office Device generation 11 for category Office Equipment,13170.00
213,13,Wearable 0011,Wearable generation 11 for category Wearables,11260.00
214,14,Camera 0011,Camera generation 11 for category Cameras,46350.00
215,15,Book 0011,Book generation 11 for category Books,890.00
216,16,TV 0011,TV generation 11 for category TVs,55080.00
217,17,Speaker 0011,Speaker generation 11 for category Audio,10170.00
218,18,Printer 0011,Printer generation 11 for category Printers,18260.00
219,19,Component 0011,Component generation 11 for category Components,15350.00
220,20,Charger 0011,Charger generation 11 for category Charging,1990.00
221,1,Smartphone 0012,Smartphone generation 12 for category Smartphones,25355.00
222,2,Laptop 0012,Laptop generation 12 for category Laptops,70445.00
223,3,Tablet 0012,Tablet generation 12 for category Tablets,30535.00
224,4,Headphones 0012,Headphones generation 12 for category Headphones,9625.00
225,5,Smart Device 0012,Smart Device generation 12 for category Smart Home,4765.00
226,6,Gaming Gear 0012,Gaming Gear generation 12 for category Gaming,7355.00
227,7,Monitor 0012,Monitor generation 12 for category Monitors,22445.00
228,8,Storage 0012,Storage generation 12 for category Storage,6035.00
229,9,Accessory 0012,Accessory generation 12 for category Accessories,2125.00
230,10,Router 0012,Router generation 12 for category Networking,5265.00
231,11,Appliance 0012,Appliance generation 12 for category Kitchen Appliances,8355.00
232,12,Office Device 0012,Office Device generation 12 for category Office Equipment,13445.00
233,13,Wearable 0012,Wearable generation 12 for category Wearables,11535.00
234,14,Camera 0012,Camera generation 12 for category Cameras,46625.00
235,15,Book 0012,Book generation 12 for category Books,1165.00
236,16,TV 0012,TV generation 12 for category TVs,55355.00
237,17,Speaker 0012,Speaker generation 12 for category Audio,10445.00
238,18,Printer 0012,Printer generation 12 for category Printers,18535.00
239,19,Component 0012,Component generation 12 for category Components,15625.00
240,20,Charger 0012,Charger generation 12 for category Charging,2265.00
241,1,Smartphone 0013,Smartphone generation 13 for category Smartphones,25630.00
242,2,Laptop 0013,Laptop generation 13 for category Laptops,70720.00
243,3,Tablet 0013,Tablet generation 13 for category Tablets,30810.00
244,4,Headphones 0013,Headphones generation 13 for category Headphones,9900.00
245,5,Smart Device 0013,Smart Device generation 13 for category Smart Home,5040.00
246,6,Gaming Gear 0013,Gaming Gear generation 13 for category Gaming,7630.00
247,7,Monitor 0013,Monitor generation 13 for category Monitors,22720.00
248,8,Storage 0013,Storage generation 13 for category Storage,6310.00
249,9,Accessory 0013,Accessory generation 13 for category Accessories,2400.00
250,10,Router 0013,Router generation 13 for category Networking,5540.00
251,11,Appliance 0013,Appliance generation 13 for category Kitchen Appliances,8630.00
252,12,Office Device 0013,Office Device generation 13 for category Office Equipment,13720.00
253,13,Wearable 0013,Wearable generation 13 for category Wearables,11810.00
254,14,Camera 0013,Camera generation 13 for category Cameras,46900.00
255,15,Book 0013,Book generation 13 for category Books,1440.00
256,16,TV 0013,TV generation 13 for category TVs,55630.00
257,17,Speaker 0013,Speaker generation 13 for category Audio,10720.00
258,18,Printer 0013,Printer generation 13 for category Printers,18810.00
259,19,Component 0013,Component generation 13 for category Components,15900.00
260,20,Charger 0013,Charger generation 13 for category Charging,2540.00
261,1,Smartphone 0014,Smartphone generation 14 for category Smartphones,25905.00
262,2,Laptop 0014,Laptop generation 14 for category Laptops,70995.00
263,3,Tablet 0014,Tablet generation 14 for category Tablets,31085.00
264,4,Headphones 0014,Headphones generation 14 for category Headphones,10175.00
265,5,Smart Device 0014,Smart Device generation 14 for category Smart Home,5315.00
266,6,Gaming Gear 0014,Gaming Gear generation 14 for category Gaming,7905.00
267,7,Monitor 0014,Monitor generation 14 for category Monitors,22995.00
268,8,Storage 0014,Storage generation 14 for category Storage,6585.00
269,9,Accessory 0014,Accessory generation 14 for category Accessories,2675.00
270,10,Router 0014,Router generation 14 for category Networking,5815.00
271,11,Appliance 0014,Appliance generation 14 for category Kitchen Appliances,8905.00
272,12,Office Device 0014,Office Device generation 14 for category Office Equipment,13995.00
273,13,Wearable 0014,Wearable generation 14 for category Wearables,12085.00
274,14,Camera 0014,Camera generation 14 for category Cameras,47175.00
275,15,Book 0014,Book generation 14 for category Books,1715.00
276,16,TV 0014,TV generation 14 for category TVs,55905.00
277,17,Speaker 0014,Speaker generation 14 for category Audio,10995.00
278,18,Printer 0014,Printer generation 14 for category Printers,19085.00
279,19,Component 0014,Component generation 14 for category Components,16175.00
280,20,Charger 0014,Charger generation 14 for category Charging,2815.00
281,1,Smartphone 0015,Smartphone generation 15 for category Smartphones,26180.00
282,2,Laptop 0015,Laptop generation 15 for category Laptops,71270.00
283,3,Tablet 0015,Tablet generation 15 for category Tablets,31360.00
284,4,Headphones 0015,Headphones generation 15 for category Headphones,10450.00
285,5,Smart Device 0015,Smart Device generation 15 for category Smart Home,5590.00
286,6,Gaming Gear 0015,Gaming Gear generation 15 for category Gaming,8180.00
287,7,Monitor 0015,Monitor generation 15 for category Monitors,23270.00
288,8,Storage 0015,Storage generation 15 for category Storage,6860.00
289,9,Accessory 0015,Accessory generation 15 for category Accessories,2950.00
290,10,Router 0015,Router generation 15 for category Networking,6090.00
291,11,Appliance 0015,Appliance generation 15 for category Kitchen Appliances,9180.00
292,12,Office Device 0015,Office Device generation 15 for category Office Equipment,14270.00
293,13,Wearable 0015,Wearable generation 15 for category Wearables,12360.00
294,14,Camera 0015,Camera generation 15 for category Cameras,47450.00
295,15,Book 0015,Book generation 15 for category Books,1990.00
296,16,TV 0015,TV generation 15 for category TVs,56180.00
297,17,Speaker 0015,Speaker generation 15 for category Audio,11270.00
298,18,Printer 0015,Printer generation 15 for category Printers,19360.00
299,19,Component 0015,Component generation 15 for category Components,16450.00
300,20,Charger 0015,Charger generation 15 for category Charging,3090.00
301,1,Smartphone 0016,Smartphone generation 16 for category Smartphones,26455.00
302,2,Laptop 0016,Laptop generation 16 for category Laptops,71545.00
303,3,Tablet 0016,Tablet generation 16 for category Tablets,31635.00
304,4,Headphones 0016,Headphones generation 16 for category Headphones,10725.00
305,5,Smart Device 0016,Smart Device generation 16 for category Smart Home,5865.00
306,6,Gaming Gear 0016,Gaming Gear generation 16 for category Gaming,8455.00
307,7,Monitor 0016,Monitor generation 16 for category Monitors,23545.00
308,8,Storage 0016,Storage generation 16 for category Storage,7135.00
309,9,Accessory 0016,Accessory generation 16 for category Accessories,3225.00
310,10,Router 0016,Router generation 16 for category Networking,6365.00
311,11,Appliance 0016,Appliance generation 16 for category Kitchen Appliances,9455.00
312,12,Office Device 0016,Office Device generation 16 for category Office Equipment,14545.00
313,13,Wearable 0016,Wearable generation 16 for category Wearables,12635.00
314,14,Camera 0016,Camera generation 16 for category Cameras,47725.00
315,15,Book 0016,Book generation 16 for category Books,2265.00
316,16,TV 0016,TV generation 16 for category TVs,56455.00
317,17,Speaker 0016,Speaker generation 16 for category Audio,11545.00
318,18,Printer 0016,Printer generation 16 for category Printers,19635.00
319,19,Component 0016,Component generation 16 for category Components,16725.00
320,20,Charger 0016,Charger generation 16 for category Charging,3365.00
321,1,Smartphone 0017,Smartphone generation 17 for category Smartphones,26730.00
322,2,Laptop 0017,Laptop generation 17 for category Laptops,71820.00
323,3,Tablet 0017,Tablet generation 17 for category Tablets,31910.00
324,4,Headphones 0017,Headphones generation 17 for category Headphones,11000.00
325,5,Smart Device 0017,Smart Device generation 17 for category Smart Home,6140.00
326,6,Gaming Gear 0017,Gaming Gear generation 17 for category Gaming,8730.00
327,7,Monitor 0017,Monitor generation 17 for category Monitors,23820.00
328,8,Storage 0017,Storage generation 17 for category Storage,7410.00
329,9,Accessory 0017,Accessory generation 17 for category Accessories,3500.00
330,10,Router 0017,Router generation 17 for category Networking,6640.00
331,11,Appliance 0017,Appliance generation 17 for category Kitchen Appliances,9730.00
332,12,Office Device 0017,Office Device generation 17 for category Office Equipment,14820.00
333,13,Wearable 0017,Wearable generation 17 for category Wearables,12910.00
334,14,Camera 0017,Camera generation 17 for category Cameras,48000.00
335,15,Book 0017,Book generation 17 for category Books,2540.00
336,16,TV 0017,TV generation 17 for category TVs,56730.00
337,17,Speaker 0017,Speaker generation 17 for category Audio,11820.00
338,18,Printer 0017,Printer generation 17 for category Printers,19910.00
339,19,Component 0017,Component generation 17 for category Components,17000.00
340,20,Charger 0017,Charger generation 17 for category Charging,3640.00
341,1,Smartphone 0018,Smartphone generation 18 for category Smartphones,27005.00
342,2,Laptop 0018,Laptop generation 18 for category Laptops,72095.00
343,3,Tablet 0018,Tablet generation 18 for category Tablets,32185.00
344,4,Headphones 0018,Headphones generation 18 for category Headphones,11275.00
345,5,Smart Device 0018,Smart Device generation 18 for category Smart Home,6415.00
346,6,Gaming Gear 0018,Gaming Gear generation 18 for category Gaming,9005.00
347,7,Monitor 0018,Monitor generation 18 for category Monitors,24095.00
348,8,Storage 0018,Storage generation 18 for category Storage,7685.00
349,9,Accessory 0018,Accessory generation 18 for category Accessories,3775.00
350,10,Router 0018,Router generation 18 for category Networking,6915.00
351,11,Appliance 0018,Appliance generation 18 for category Kitchen Appliances,10005.00
352,12,Office Device 0018,Office Device generation 18 for category Office Equipment,15095.00
353,13,Wearable 0018,Wearable generation 18 for category Wearables,13185.00
354,14,Camera 0018,Camera generation 18 for category Cameras,48275.00
355,15,Book 0018,Book generation 18 for category Books,2815.00
356,16,TV 0018,TV generation 18 for category TVs,57005.00
357,17,Speaker 0018,Speaker generation 18 for category Audio,12095.00
358,18,Printer 0018,Printer generation 18 for category Printers,20185.00
359,19,Component 0018,Component generation 18 for category Components,17275.00
360,20,Charger 0018,Charger generation 18 for category Charging,3915.00
361,1,Smartphone 0019,Smartphone generation 19 for category Smartphones,27280.00
362,2,Laptop 0019,Laptop generation 19 for category Laptops,72370.00
363,3,Tablet 0019,Tablet generation 19 for category Tablets,32460.00
364,4,Headphones 0019,Headphones generation 19 for category Headphones,11550.00
365,5,Smart Device 0019,Smart Device generation 19 for category Smart Home,6690.00
366,6,Gaming Gear 0019,Gaming Gear generation 19 for category Gaming,9280.00
367,7,Monitor 0019,Monitor generation 19 for category Monitors,24370.00
368,8,Storage 0019,Storage generation 19 for category Storage,7960.00
369,9,Accessory 0019,Accessory generation 19 for category Accessories,4050.00
370,10,Router 0019,Router generation 19 for category Networking,7190.00
371,11,Appliance 0019,Appliance generation 19 for category Kitchen Appliances,10280.00
372,12,Office Device 0019,Office Device generation 19 for category Office Equipment,15370.00
373,13,Wearable 0019,Wearable generation 19 for category Wearables,13460.00
374,14,Camera 0019,Camera generation 19 for category Cameras,48550.00
375,15,Book 0019,Book generation 19 for category Books,3090.00
376,16,TV 0019,TV generation 19 for category TVs,57280.00
377,17,Speaker 0019,Speaker generation 19 for category Audio,12370.00
378,18,Printer 0019,Printer generation 19 for category Printers,20460.00
379,19,Component 0019,Component generation 19 for category Components,17550.00
380,20,Charger 0019,Charger generation 19 for category Charging,4190.00
381,1,Smartphone 0020,Smartphone generation 20 for category Smartphones,27555.00
382,2,Laptop 0020,Laptop generation 20 for category Laptops,72645.00
383,3,Tablet 0020,Tablet generation 20 for category Tablets,32735.00
384,4,Headphones 0020,Headphones generation 20 for category Headphones,11825.00
385,5,Smart Device 0020,Smart Device generation 20 for category Smart Home,6965.00
386,6,Gaming Gear 0020,Gaming Gear generation 20 for category Gaming,9555.00
387,7,Monitor 0020,Monitor generation 20 for category Monitors,24645.00
388,8,Storage 0020,Storage generation 20 for category Storage,8235.00
389,9,Accessory 0020,Accessory generation 20 for category Accessories,4325.00
390,10,Router 0020,Router generation 20 for category Networking,7465.00
391,11,Appliance 0020,Appliance generation 20 for category Kitchen Appliances,10555.00
392,12,Office Device 0020,Office Device generation 20 for category Office Equipment,15645.00
393,13,Wearable 0020,Wearable generation 20 for category Wearables,13735.00
394,14,Camera 0020,Camera generation 20 for category Cameras,48825.00
395,15,Book 0020,Book generation 20 for category Books,3365.00
396,16,TV 0020,TV generation 20 for category TVs,57555.00
397,17,Speaker 0020,Speaker generation 20 for category Audio,12645.00
398,18,Printer 0020,Printer generation 20 for category Printers,20735.00
399,19,Component 0020,Component generation 20 for category Components,17825.00
400,20,Charger 0020,Charger generation 20 for category Charging,4465.00
401,1,Smartphone 0021,Smartphone generation 21 for category Smartphones,27830.00
402,2,Laptop 0021,Laptop generation 21 for category Laptops,72920.00
403,3,Tablet 0021,Tablet generation 21 for category Tablets,33010.00
404,4,Headphones 0021,Headphones generation 21 for category Headphones,12100.00
405,5,Smart Device 0021,Smart Device generation 21 for category Smart Home,7240.00
406,6,Gaming Gear 0021,Gaming Gear generation 21 for category Gaming,9830.00
407,7,Monitor 0021,Monitor generation 21 for category Monitors,24920.00
408,8,Storage 0021,Storage generation 21 for category Storage,8510.00
409,9,Accessory 0021,Accessory generation 21 for category Accessories,4600.00
410,10,Router 0021,Router generation 21 for category Networking,7740.00
411,11,Appliance 0021,Appliance generation 21 for category Kitchen Appliances,10830.00
412,12,Office Device 0021,Office Device generation 21 for category Office Equipment,15920.00
413,13,Wearable 0021,Wearable generation 21 for category Wearables,14010.00
414,14,Camera 0021,Camera generation 21 for category Cameras,49100.00
415,15,Book 0021,Book generation 21 for category Books,3640.00
416,16,TV 0021,TV generation 21 for category TVs,57830.00
417,17,Speaker 0021,Speaker generation 21 for category Audio,12920.00
418,18,Printer 0021,Printer generation 21 for category Printers,21010.00
419,19,Component 0021,Component generation 21 for category Components,18100.00
420,20,Charger 0021,Charger generation 21 for category Charging,4740.00
421,1,Smartphone 0022,Smartphone generation 22 for category Smartphones,25080.00
422,2,Laptop 0022,Laptop generation 22 for category Laptops,70170.00
423,3,Tablet 0022,Tablet generation 22 for category Tablets,30260.00
424,4,Headphones 0022,Headphones generation 22 for category Headphones,9350.00
425,5,Smart Device 0022,Smart Device generation 22 for category Smart Home,4490.00
426,6,Gaming Gear 0022,Gaming Gear generation 22 for category Gaming,7080.00
427,7,Monitor 0022,Monitor generation 22 for category Monitors,22170.00
428,8,Storage 0022,Storage generation 22 for category Storage,5760.00
429,9,Accessory 0022,Accessory generation 22 for category Accessories,1850.00
430,10,Router 0022,Router generation 22 for category Networking,4990.00
431,11,Appliance 0022,Appliance generation 22 for category Kitchen Appliances,8080.00
432,12,Office Device 0022,Office Device generation 22 for category Office Equipment,13170.00
